Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Day_Name,Month,Year,Prev_Close,Pct_Change,Sign,Close_Trend
2020-09-09,11218.6,11298.15,11185.15,11278.0,728880693,32660.67,Wednesday,September,2020,11317.35,-0.34769623630974006,-,- 0.35%
2020-09-10,11363.3,11464.05,11327.4,11449.25,679419973,39239.1,Thursday,September,2020,11278.0,1.5184429863450966,+,+ 1.52%
2020-09-11,11447.8,11493.5,11419.9,11464.45,554789157,29614.09,Friday,September,2020,11449.25,0.13275978775902986,+,+ 0.13%
2020-09-14,11540.15,11568.9,11383.55,11440.05,642270123,33996.94,Monday,September,2020,11464.45,-0.21283184103905073,-,- 0.21%
2020-09-15,11487.2,11535.95,11442.25,11521.8,506667239,28054.51,Tuesday,September,2020,11440.05,0.7145947788689736,+,+ 0.71%
2020-09-16,11538.45,11618.1,11516.75,11604.55,527804775,27629.71,Wednesday,September,2020,11521.8,0.7182037528858338,+,+ 0.72%
2020-09-17,11539.4,11587.2,11498.5,11516.1,517729494,29674.95,Thursday,September,2020,11604.55,-0.7622010332154104,-,- 0.76%
2020-09-18,11584.1,11584.1,11446.1,11504.95,764154094,48698.68,Friday,September,2020,11516.1,-0.09682097237779835,-,- 0.10%
2020-09-21,11503.8,11535.25,11218.5,11250.55,602851737,37213.23,Monday,September,2020,11504.95,-2.211222126128331,-,- 2.21%
2020-09-22,11301.75,11302.2,11084.65,11153.65,672249921,36296.49,Tuesday,September,2020,11250.55,-0.8612912257622929,-,- 0.86%
2020-09-23,11258.75,11259.55,11024.4,11131.85,714925847,35542.98,Wednesday,September,2020,11153.65,-0.19545171311632759,-,- 0.20%
2020-09-24,11011.0,11015.3,10790.2,10805.55,706139506,33623.71,Thursday,September,2020,11131.85,-2.9312288613303363,-,- 2.93%
2020-09-25,10910.4,11072.6,10854.85,11050.25,559597322,31122.18,Friday,September,2020,10805.55,2.264576999782526,+,+ 2.26%
2020-09-28,11140.85,11239.35,11099.85,11227.55,472777324,24361.17,Monday,September,2020,11050.25,1.6044885862310743,+,+ 1.60%
2020-09-29,11288.6,11305.4,11181.0,11222.4,498295735,26875.14,Tuesday,September,2020,11227.55,-0.045869312539241744,-,- 0.05%
2020-09-30,11244.45,11295.4,11184.55,11247.55,499343849,28134.77,Wednesday,September,2020,11222.4,0.22410536070715387,+,+ 0.22%
2020-10-01,11364.45,11428.6,11347.05,11416.95,447740006,26212.72,Thursday,October,2020,11247.55,1.5061057741463828,+,+ 1.51%
2020-10-05,11487.8,11578.05,11452.3,11503.35,530597393,31341.55,Monday,October,2020,11416.95,0.7567695400260107,+,+ 0.76%
2020-10-06,11603.45,11680.3,11564.3,11662.4,561444728,30373.65,Tuesday,October,2020,11503.35,1.382640709010847,+,+ 1.38%
2020-10-07,11679.25,11763.05,11629.35,11738.85,513367516,32935.98,Wednesday,October,2020,11662.4,0.6555254493071814,+,+ 0.66%
2020-10-08,11835.4,11905.7,11791.15,11834.6,608768573,38677.49,Thursday,October,2020,11738.85,0.815667633541616,+,+ 0.82%
2020-10-09,11852.05,11938.6,11805.2,11914.2,611079482,34546.8,Friday,October,2020,11834.6,0.672604059283798,+,+ 0.67%
2020-10-12,11973.55,12022.05,11867.2,11930.95,522627571,26586.47,Monday,October,2020,11914.2,0.1405885414043746,+,+ 0.14%
2020-10-13,11934.65,11988.2,11888.9,11934.5,458304851,29403.22,Tuesday,October,2020,11930.95,0.02975454594981349,+,+ 0.03%
2020-10-14,11917.4,11997.2,11822.15,11971.05,569245407,29940.62,Wednesday,October,2020,11934.5,0.30625497507226335,+,+ 0.31%
2020-10-15,12023.45,12025.45,11661.3,11680.35,608865041,35175.92,Thursday,October,2020,11971.05,-2.428358414675395,-,- 2.43%
2020-10-16,11727.4,11789.75,11667.85,11762.45,555764762,30439.19,Friday,October,2020,11680.35,0.7028898962787961,+,+ 0.70%
2020-10-19,11879.2,11898.25,11820.4,11873.05,541420990,29888.6,Monday,October,2020,11762.45,0.9402802987472724,+,+ 0.94%
2020-10-20,11861.0,11949.25,11837.25,11896.8,453560934,28367.34,Tuesday,October,2020,11873.05,0.2000328474991683,+,+ 0.20%
2020-10-21,11958.55,12018.65,11775.75,11937.65,623658140,37477.13,Wednesday,October,2020,11896.8,0.343369645618993,+,+ 0.34%
2020-10-22,11890.0,11939.55,11823.45,11896.45,544901152,33013.17,Thursday,October,2020,11937.65,-0.34512655338361325,-,- 0.35%
2020-10-23,11957.9,11974.55,11908.75,11930.35,502340361,27424.61,Friday,October,2020,11896.45,0.28495895834471324,+,+ 0.28%
2020-10-26,11937.4,11942.85,11711.7,11767.75,519815905,29316.02,Monday,October,2020,11930.35,-1.3629105600422482,-,- 1.36%
2020-10-27,11807.1,11899.05,11723.0,11889.4,616318543,37989.97,Tuesday,October,2020,11767.75,1.0337575152429277,+,+ 1.03%
2020-10-28,11922.6,11929.4,11684.85,11729.6,704018608,37025.89,Wednesday,October,2020,11889.4,-1.3440543677561465,-,- 1.34%
2020-10-29,11633.3,11744.15,11606.45,11670.8,554959844,30436.62,Thursday,October,2020,11729.6,-0.5012958668667397,-,- 0.50%
2020-10-30,11678.45,11748.95,11535.45,11642.4,553672805,28151.58,Friday,October,2020,11670.8,-0.24334235870719778,-,- 0.24%
2020-11-02,11697.35,11725.65,11557.4,11669.15,568434165,35714.57,Monday,November,2020,11642.4,0.22976362262076547,+,+ 0.23%
2020-11-03,11734.45,11836.2,11723.3,11813.5,674303605,36363.95,Tuesday,November,2020,11669.15,1.2370224052308898,+,+ 1.24%
2020-11-04,11783.35,11929.65,11756.4,11908.5,667290347,38552.09,Wednesday,November,2020,11813.5,0.8041647267956151,+,+ 0.80%
2020-11-05,12062.4,12131.1,12027.6,12120.3,632455414,32311.46,Thursday,November,2020,11908.5,1.7785615316790466,+,+ 1.78%
2020-11-06,12156.65,12280.4,12131.85,12263.55,576837602,34965.94,Friday,November,2020,12120.3,1.1819014380832158,+,+ 1.18%
2020-11-09,12399.4,12474.05,12367.35,12461.05,553449924,34255.11,Monday,November,2020,12263.55,1.6104635280974924,+,+ 1.61%
2020-11-10,12556.4,12643.9,12475.25,12631.1,847450692,51247.01,Tuesday,November,2020,12461.05,1.364652256431048,+,+ 1.36%
2020-11-11,12680.6,12769.75,12571.1,12749.15,880475468,54744.55,Wednesday,November,2020,12631.1,0.9345979368384327,+,+ 0.93%
2020-11-12,12702.15,12741.15,12624.85,12690.8,622017762,36794.24,Thursday,November,2020,12749.15,-0.45767757066157644,-,- 0.46%
2020-11-13,12659.7,12735.95,12607.7,12719.95,513948665,34568.65,Friday,November,2020,12690.8,0.22969395152395009,+,+ 0.23%
2020-11-14,12823.35,12828.7,12749.45,12780.25,107868139,5189.38,Saturday,November,2020,12719.95,0.47405846721095024,+,+ 0.47%
2020-11-17,12932.5,12934.05,12797.1,12874.2,707676873,40977.03,Tuesday,November,2020,12780.25,0.7351186400892058,+,+ 0.74%
2020-11-18,12860.1,12948.85,12819.35,12938.25,731321438,39856.45,Wednesday,November,2020,12874.2,0.4975066411893498,+,+ 0.50%
2020-11-19,12839.5,12963.0,12745.75,12771.7,768751782,44747.08,Thursday,November,2020,12938.25,-1.28726837091569,-,- 1.29%
2020-11-20,12813.4,12892.45,12730.25,12859.05,663997267,42992.15,Friday,November,2020,12771.7,0.683934010350999,+,+ 0.68%
2020-11-23,12960.3,12968.85,12825.7,12926.45,633117401,42031.38,Monday,November,2020,12859.05,0.5241444741252382,+,+ 0.52%
2020-11-24,13002.6,13079.1,12978.0,13055.15,571864976,37094.23,Tuesday,November,2020,12926.45,0.9956329850809689,+,+ 1.00%
2020-11-25,13130.0,13145.85,12833.65,12858.4,679005507,37401.36,Wednesday,November,2020,13055.15,-1.5070680919024293,-,- 1.51%
2020-11-26,12906.45,13018.0,12790.4,12987.0,549798925,34624.15,Thursday,November,2020,12858.4,1.0001244322777356,+,+ 1.00%
2020-11-27,13012.05,13035.3,12914.3,12968.95,1162360673,78522.93,Friday,November,2020,12987.0,-0.13898513898513337,-,- 0.14%
2020-12-01,13062.2,13128.4,12962.8,13109.05,583633902,32917.26,Tuesday,December,2020,12968.95,1.0802724970024447,+,+ 1.08%
