Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Day_Name,Month,Year,Prev_Close,Pct_Change,Sign,Close_Trend
2019-12-24,12269.25,12283.7,12202.1,12214.55,470290298,13864.56,Tuesday,December,2019,12262.75,-0.3930602841940081,-,- 0.39%
2019-12-26,12211.85,12221.55,12118.85,12126.55,520326632,16362.31,Thursday,December,2019,12214.55,-0.7204522475244688,-,- 0.72%
2019-12-27,12172.9,12258.45,12157.9,12245.8,383788556,13676.2,Friday,December,2019,12126.55,0.9833794442772265,+,+ 0.98%
2019-12-30,12274.9,12286.45,12213.8,12255.85,411084614,14556.73,Monday,December,2019,12245.8,0.08206895425371223,+,+ 0.08%
2019-12-31,12247.1,12247.1,12151.8,12168.45,426931711,14812.89,Tuesday,December,2019,12255.85,-0.7131288323535262,-,- 0.71%
2020-01-01,12202.15,12222.2,12165.3,12182.5,304078039,10445.68,Wednesday,January,2020,12168.45,0.11546252809519102,+,+ 0.12%
2020-01-02,12198.55,12289.9,12195.25,12282.2,407697594,15256.55,Thursday,January,2020,12182.5,0.8183870305766527,+,+ 0.82%
2020-01-03,12261.1,12265.6,12191.35,12226.65,428770054,16827.27,Friday,January,2020,12282.2,-0.45228053606032376,-,- 0.45%
2020-01-06,12170.6,12179.1,11974.2,11993.05,396501419,16869.22,Monday,January,2020,12226.65,-1.9105805760367751,-,- 1.91%
2020-01-07,12079.1,12152.15,12005.35,12052.95,447818617,17797.68,Tuesday,January,2020,11993.05,0.4994559348956392,+,+ 0.50%
2020-01-08,11939.1,12044.95,11929.6,12025.35,445991640,18281.15,Wednesday,January,2020,12052.95,-0.22898958346297266,-,- 0.23%
2020-01-09,12153.15,12224.05,12132.55,12215.9,477469878,18456.64,Thursday,January,2020,12025.35,1.5845692640962572,+,+ 1.58%
2020-01-10,12271.0,12311.2,12213.2,12256.8,660627930,18818.62,Friday,January,2020,12215.9,0.33480955148617486,+,+ 0.33%
2020-01-13,12296.7,12337.75,12285.8,12329.55,500968242,17522.13,Monday,January,2020,12256.8,0.593548071274721,+,+ 0.59%
2020-01-14,12333.1,12374.25,12308.7,12362.3,616260555,17948.92,Tuesday,January,2020,12329.55,0.2656220218904989,+,+ 0.27%
2020-01-15,12349.4,12355.15,12278.75,12343.3,684352965,17882.51,Wednesday,January,2020,12362.3,-0.15369308300235393,-,- 0.15%
2020-01-16,12347.1,12389.05,12315.8,12355.5,395670245,16004.06,Thursday,January,2020,12343.3,0.09883904628422487,+,+ 0.10%
2020-01-17,12328.4,12385.45,12321.4,12352.35,502060615,21397.63,Friday,January,2020,12355.5,-0.025494718951071475,-,- 0.03%
2020-01-20,12430.5,12430.5,12216.9,12224.55,491609317,21415.43,Monday,January,2020,12352.35,-1.034620942573689,-,- 1.03%
2020-01-21,12195.3,12230.05,12162.3,12169.85,443976442,18682.65,Tuesday,January,2020,12224.55,-0.4474602337100254,-,- 0.45%
2020-01-22,12218.35,12225.05,12087.9,12106.9,526294513,19758.68,Wednesday,January,2020,12169.85,-0.5172619218807194,-,- 0.52%
2020-01-23,12123.75,12189.0,12094.1,12180.35,867653663,23829.39,Thursday,January,2020,12106.9,0.6066788360356551,+,+ 0.61%
2020-01-24,12174.55,12272.15,12149.65,12248.25,593237908,18032.27,Friday,January,2020,12180.35,0.5574552455389183,+,+ 0.56%
2020-01-27,12197.1,12216.6,12107.0,12119.0,441158138,17988.61,Monday,January,2020,12248.25,-1.0552527912150715,-,- 1.06%
